% Dataset used in the tabular data benchmark https://github.com/LeoGrin/tabular-benchmark, transformed in the same way. This dataset belongs to the "classification on numerical features" benchmark. Original description: 
%  
% **Author**: Paulo Cortez, Sergio Moro
% **Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/bank+marketing)
% **Please cite**: S. Moro, R. Laureano and P. Cortez. Using Data Mining for Bank Direct Marketing: An Application of the CRISP-DM Methodology. In P. Novais et al. (Eds.), Proceedings of the European Simulation and Modelling Conference - ESM'2011, pp. 117-121, Guimaraes, Portugal, October, 2011. EUROSIS.       
%
% **Bank Marketing**  
% The data is related with direct marketing campaigns of a Portuguese banking institution. The marketing campaigns were based on phone calls. Often, more than one contact to the same client was required, in order to access if the product (bank term deposit) would be (or not) subscribed. 
%
% The classification goal is to predict if the client will subscribe a term deposit (variable y).
%
% ### Attribute information  
% For more information, read [Moro et al., 2011].
%
% Input variables:
%
% - bank client data:
%
% 1 - age (numeric) 
%
% 2 - job : type of job (categorical: "admin.","unknown","unemployed","management","housemaid","entrepreneur", "student","blue-collar","self-employed","retired","technician","services") 
%
% 3 - marital : marital status (categorical: "married","divorced","single"; note: "divorced"  means divorced or widowed) 
%
% 4 - education (categorical: "unknown","secondary","primary","tertiary") 
%
% 5 - default: has credit in default? (binary: "yes","no") 
%
% 6 - balance: average yearly balance, in euros (numeric) 
%
% 7 - housing: has housing loan? (binary: "yes","no") 
%
% 8 - loan: has personal loan? (binary: "yes","no")
%
% - related with the last contact of the current campaign:
%
% 9 - contact: contact communication type (categorical: "unknown","telephone","cellular")
%
% 10 - day: last contact day of the month (numeric)
%
% 11 - month: last contact month of year (categorical: "jan", "feb", "mar", ..., "nov", "dec")
%
% 12 - duration: last contact duration, in seconds (numeric)
%
% - other attributes:
%
% 13 - campaign: number of contacts performed during this campaign and for this client (numeric, includes last contact)
%
% 14 - pdays: number of days that passed by after the client was last contacted from a previous campaign (numeric, -1 means client was not previously contacted) 
%
% 15 - previous: number of contacts performed before this campaign and for this client (numeric) 
%
% 16 - poutcome: outcome of the previous marketing campaign (categorical: "unknown","other","failure","success")
%  
% - output variable (desired target):
%
% 17 - y - has the client subscribed a term deposit? (binary: "yes","no")
@RELATION bank-marketing

@ATTRIBUTE V1 REAL
@ATTRIBUTE V6 REAL
@ATTRIBUTE V10 REAL
@ATTRIBUTE V12 REAL
@ATTRIBUTE V13 REAL
@ATTRIBUTE V14 REAL
@ATTRIBUTE V15 REAL
@ATTRIBUTE Class {1, 2}

@DATA
52.0,51.0,14.0,935.0,2.0,-1.0,0.0,1
53.0,232.0,29.0,32.0,1.0,-1.0,0.0,1
50.0,525.0,18.0,177.0,2.0,-1.0,0.0,1
32.0,648.0,21.0,166.0,1.0,-1.0,0.0,1
58.0,2348.0,9.0,226.0,1.0,-1.0,0.0,1
37.0,1731.0,29.0,148.0,4.0,-1.0,0.0,1
65.0,2352.0,8.0,354.0,3.0,188.0,13.0,1
54.0,5210.0,30.0,123.0,4.0,-1.0,0.0,1
51.0,-1136.0,25.0,155.0,1.0,-1.0,0.0,1
28.0,511.0,15.0,274.0,1.0,319.0,5.0,1
39.0,3663.0,11.0,230.0,3.0,-1.0,0.0,1
58.0,-205.0,3.0,497.0,2.0,-1.0,0.0,1
51.0,1126.0,17.0,326.0,3.0,-1.0,0.0,1
46.0,-880.0,12.0,185.0,2.0,-1.0,0.0,1
59.0,-313.0,20.0,407.0,1.0,-1.0,0.0,1
34.0,1637.0,21.0,107.0,4.0,-1.0,0.0,1
26.0,-378.0,8.0,165.0,1.0,-1.0,0.0,1
55.0,9774.0,20.0,227.0,1.0,-1.0,0.0,1
37.0,14.0,5.0,22.0,1.0,-1.0,0.0,1
45.0,46.0,5.0,234.0,1.0,-1.0,0.0,1
35.0,2823.0,2.0,229.0,1.0,-1.0,0.0,1
60.0,2389.0,4.0,287.0,1.0,-1.0,0.0,1
42.0,1323.0,19.0,19.0,1.0,-1.0,0.0,1
55.0,33.0,30.0,246.0,3.0,-1.0,0.0,1
36.0,9.0,7.0,473.0,2.0,-1.0,0.0,1
26.0,3825.0,13.0,107.0,1.0,-1.0,0.0,1
44.0,0.0,11.0,78.0,2.0,264.0,3.0,1
40.0,275.0,13.0,409.0,4.0,-1.0,0.0,1
37.0,1.0,6.0,44.0,2.0,-1.0,0.0,1
48.0,295.0,17.0,123.0,1.0,164.0,2.0,1
22.0,1161.0,16.0,119.0,1.0,-1.0,0.0,1
39.0,-146.0,20.0,239.0,2.0,-1.0,0.0,1
41.0,0.0,6.0,184.0,2.0,323.0,1.0,1
33.0,381.0,7.0,1957.0,1.0,-1.0,0.0,1
27.0,811.0,28.0,591.0,2.0,-1.0,0.0,1
49.0,933.0,29.0,92.0,33.0,-1.0,0.0,1
42.0,1823.0,13.0,31.0,1.0,-1.0,0.0,1
44.0,597.0,7.0,137.0,2.0,-1.0,0.0,1
37.0,41.0,14.0,388.0,3.0,-1.0,0.0,1
39.0,345.0,29.0,110.0,3.0,-1.0,0.0,1
